PassengerId,Survived,Pclass,Age,Fare,Sex_encod,C,S
1,0,3,22.0,7.25,1,0,1
2,1,1,38.0,71.2833,0,1,0
3,1,3,26.0,7.925,0,0,1
4,1,1,35.0,53.1,0,0,1
5,0,3,35.0,8.05,1,0,1
6,0,3,29.69911764705882,8.4583,1,0,0
7,0,1,54.0,51.8625,1,0,1
8,0,3,2.0,21.075,1,0,1
9,1,3,27.0,11.1333,0,0,1
10,1,2,14.0,30.0708,0,1,0
11,1,3,4.0,16.7,0,0,1
12,1,1,58.0,26.55,0,0,1
13,0,3,20.0,8.05,1,0,1
14,0,3,39.0,31.275,1,0,1
15,0,3,14.0,7.8542,0,0,1
16,1,2,55.0,16.0,0,0,1
17,0,3,2.0,29.125,1,0,0
18,1,2,29.69911764705882,13.0,1,0,1
19,0,3,31.0,18.0,0,0,1
20,1,3,29.69911764705882,7.225,0,1,0
21,0,2,35.0,26.0,1,0,1
22,1,2,34.0,13.0,1,0,1
23,1,3,15.0,8.0292,0,0,0
24,1,1,28.0,35.5,1,0,1
25,0,3,8.0,21.075,0,0,1
26,1,3,38.0,31.3875,0,0,1
27,0,3,29.69911764705882,7.225,1,1,0
28,0,1,19.0,263.0,1,0,1
29,1,3,29.69911764705882,7.8792,0,0,0
30,0,3,29.69911764705882,7.8958,1,0,1
31,0,1,40.0,27.7208,1,1,0
32,1,1,29.69911764705882,146.5208,0,1,0
33,1,3,29.69911764705882,7.75,0,0,0
34,0,2,66.0,10.5,1,0,1
35,0,1,28.0,82.1708,1,1,0
36,0,1,42.0,52.0,1,0,1
37,1,3,29.69911764705882,7.2292,1,1,0
38,0,3,21.0,8.05,1,0,1
39,0,3,18.0,18.0,0,0,1
40,1,3,14.0,11.2417,0,1,0
41,0,3,40.0,9.475,0,0,1
42,0,2,27.0,21.0,0,0,1
43,0,3,29.69911764705882,7.8958,1,1,0
44,1,2,3.0,41.5792,0,1,0
45,1,3,19.0,7.8792,0,0,0
46,0,3,29.69911764705882,8.05,1,0,1
47,0,3,29.69911764705882,15.5,1,0,0
48,1,3,29.69911764705882,7.75,0,0,0
49,0,3,29.69911764705882,21.6792,1,1,0
50,0,3,18.0,17.8,0,0,1
51,0,3,7.0,39.6875,1,0,1
52,0,3,21.0,7.8,1,0,1
53,1,1,49.0,76.7292,0,1,0
54,1,2,29.0,26.0,0,0,1
55,0,1,65.0,61.9792,1,1,0
56,1,1,29.69911764705882,35.5,1,0,1
57,1,2,21.0,10.5,0,0,1
58,0,3,28.5,7.2292,1,1,0
59,1,2,5.0,27.75,0,0,1
60,0,3,11.0,46.9,1,0,1
61,0,3,22.0,7.2292,1,1,0
62,1,1,38.0,80.0,0,0,0
63,0,1,45.0,83.475,1,0,1
64,0,3,4.0,27.9,1,0,1
65,0,1,29.69911764705882,27.7208,1,1,0
66,1,3,29.69911764705882,15.2458,1,1,0
67,1,2,29.0,10.5,0,0,1
68,0,3,19.0,8.1583,1,0,1
69,1,3,17.0,7.925,0,0,1
70,0,3,26.0,8.6625,1,0,1
71,0,2,32.0,10.5,1,0,1
72,0,3,16.0,46.9,0,0,1
73,0,2,21.0,73.5,1,0,1
74,0,3,26.0,14.4542,1,1,0
75,1,3,32.0,56.4958,1,0,1
76,0,3,25.0,7.65,1,0,1
77,0,3,29.69911764705882,7.8958,1,0,1
78,0,3,29.69911764705882,8.05,1,0,1
79,1,2,0.83,29.0,1,0,1
80,1,3,30.0,12.475,0,0,1
81,0,3,22.0,9.0,1,0,1
82,1,3,29.0,9.5,1,0,1
83,1,3,29.69911764705882,7.7875,0,0,0
84,0,1,28.0,47.1,1,0,1
85,1,2,17.0,10.5,0,0,1
86,1,3,33.0,15.85,0,0,1
87,0,3,16.0,34.375,1,0,1
88,0,3,29.69911764705882,8.05,1,0,1
89,1,1,23.0,263.0,0,0,1
90,0,3,24.0,8.05,1,0,1
91,0,3,29.0,8.05,1,0,1
92,0,3,20.0,7.8542,1,0,1
93,0,1,46.0,61.175,1,0,1
94,0,3,26.0,20.575,1,0,1
95,0,3,59.0,7.25,1,0,1
96,0,3,29.69911764705882,8.05,1,0,1
97,0,1,71.0,34.6542,1,1,0
98,1,1,23.0,63.3583,1,1,0
99,1,2,34.0,23.0,0,0,1
100,0,2,34.0,26.0,1,0,1
101,0,3,28.0,7.8958,0,0,1
102,0,3,29.69911764705882,7.8958,1,0,1
103,0,1,21.0,77.2875,1,0,1
104,0,3,33.0,8.6542,1,0,1
105,0,3,37.0,7.925,1,0,1
106,0,3,28.0,7.8958,1,0,1
107,1,3,21.0,7.65,0,0,1
108,1,3,29.69911764705882,7.775,1,0,1
109,0,3,38.0,7.8958,1,0,1
110,1,3,29.69911764705882,24.15,0,0,0
111,0,1,47.0,52.0,1,0,1
112,0,3,14.5,14.4542,0,1,0
113,0,3,22.0,8.05,1,0,1
114,0,3,20.0,9.825,0,0,1
115,0,3,17.0,14.4583,0,1,0
116,0,3,21.0,7.925,1,0,1
117,0,3,70.5,7.75,1,0,0
118,0,2,29.0,21.0,1,0,1
119,0,1,24.0,247.5208,1,1,0
120,0,3,2.0,31.275,0,0,1
121,0,2,21.0,73.5,1,0,1
122,0,3,29.69911764705882,8.05,1,0,1
123,0,2,32.5,30.0708,1,1,0
124,1,2,32.5,13.0,0,0,1
125,0,1,54.0,77.2875,1,0,1
126,1,3,12.0,11.2417,1,1,0
127,0,3,29.69911764705882,7.75,1,0,0
128,1,3,24.0,7.1417,1,0,1
129,1,3,29.69911764705882,22.3583,0,1,0
130,0,3,45.0,6.975,1,0,1
131,0,3,33.0,7.8958,1,1,0
132,0,3,20.0,7.05,1,0,1
133,0,3,47.0,14.5,0,0,1
134,1,2,29.0,26.0,0,0,1
135,0,2,25.0,13.0,1,0,1
136,0,2,23.0,15.0458,1,1,0
137,1,1,19.0,26.2833,0,0,1
138,0,1,37.0,53.1,1,0,1
139,0,3,16.0,9.2167,1,0,1
140,0,1,24.0,79.2,1,1,0
141,0,3,29.69911764705882,15.2458,0,1,0
142,1,3,22.0,7.75,0,0,1
143,1,3,24.0,15.85,0,0,1
144,0,3,19.0,6.75,1,0,0
145,0,2,18.0,11.5,1,0,1
146,0,2,19.0,36.75,1,0,1
147,1,3,27.0,7.7958,1,0,1
148,0,3,9.0,34.375,0,0,1
149,0,2,36.5,26.0,1,0,1
150,0,2,42.0,13.0,1,0,1
151,0,2,51.0,12.525,1,0,1
152,1,1,22.0,66.6,0,0,1
153,0,3,55.5,8.05,1,0,1
154,0,3,40.5,14.5,1,0,1
155,0,3,29.69911764705882,7.3125,1,0,1
156,0,1,51.0,61.3792,1,1,0
157,1,3,16.0,7.7333,0,0,0
158,0,3,30.0,8.05,1,0,1
159,0,3,29.69911764705882,8.6625,1,0,1
160,0,3,29.69911764705882,69.55,1,0,1
161,0,3,44.0,16.1,1,0,1
162,1,2,40.0,15.75,0,0,1
163,0,3,26.0,7.775,1,0,1
164,0,3,17.0,8.6625,1,0,1
165,0,3,1.0,39.6875,1,0,1
166,1,3,9.0,20.525,1,0,1
167,1,1,29.69911764705882,55.0,0,0,1
168,0,3,45.0,27.9,0,0,1
169,0,1,29.69911764705882,25.925,1,0,1
170,0,3,28.0,56.4958,1,0,1
171,0,1,61.0,33.5,1,0,1
172,0,3,4.0,29.125,1,0,0
173,1,3,1.0,11.1333,0,0,1
174,0,3,21.0,7.925,1,0,1
175,0,1,56.0,30.6958,1,1,0
176,0,3,18.0,7.8542,1,0,1
177,0,3,29.69911764705882,25.4667,1,0,1
178,0,1,50.0,28.7125,0,1,0
179,0,2,30.0,13.0,1,0,1
180,0,3,36.0,0.0,1,0,1
181,0,3,29.69911764705882,69.55,0,0,1
182,0,2,29.69911764705882,15.05,1,1,0
183,0,3,9.0,31.3875,1,0,1
184,1,2,1.0,39.0,1,0,1
185,1,3,4.0,22.025,0,0,1
186,0,1,29.69911764705882,50.0,1,0,1
187,1,3,29.69911764705882,15.5,0,0,0
188,1,1,45.0,26.55,1,0,1
189,0,3,40.0,15.5,1,0,0
190,0,3,36.0,7.8958,1,0,1
191,1,2,32.0,13.0,0,0,1
192,0,2,19.0,13.0,1,0,1
193,1,3,19.0,7.8542,0,0,1
194,1,2,3.0,26.0,1,0,1
195,1,1,44.0,27.7208,0,1,0
196,1,1,58.0,146.5208,0,1,0
197,0,3,29.69911764705882,7.75,1,0,0
198,0,3,42.0,8.4042,1,0,1
199,1,3,29.69911764705882,7.75,0,0,0
200,0,2,24.0,13.0,0,0,1
201,0,3,28.0,9.5,1,0,1
202,0,3,29.69911764705882,69.55,1,0,1
203,0,3,34.0,6.4958,1,0,1
204,0,3,45.5,7.225,1,1,0
205,1,3,18.0,8.05,1,0,1
206,0,3,2.0,10.4625,0,0,1
207,0,3,32.0,15.85,1,0,1
208,1,3,26.0,18.7875,1,1,0
209,1,3,16.0,7.75,0,0,0
210,1,1,40.0,31.0,1,1,0
211,0,3,24.0,7.05,1,0,1
212,1,2,35.0,21.0,0,0,1
213,0,3,22.0,7.25,1,0,1
214,0,2,30.0,13.0,1,0,1
215,0,3,29.69911764705882,7.75,1,0,0
216,1,1,31.0,113.275,0,1,0
217,1,3,27.0,7.925,0,0,1
218,0,2,42.0,27.0,1,0,1
219,1,1,32.0,76.2917,0,1,0
220,0,2,30.0,10.5,1,0,1
221,1,3,16.0,8.05,1,0,1
222,0,2,27.0,13.0,1,0,1
223,0,3,51.0,8.05,1,0,1
224,0,3,29.69911764705882,7.8958,1,0,1
225,1,1,38.0,90.0,1,0,1
226,0,3,22.0,9.35,1,0,1
227,1,2,19.0,10.5,1,0,1
228,0,3,20.5,7.25,1,0,1
229,0,2,18.0,13.0,1,0,1
230,0,3,29.69911764705882,25.4667,0,0,1
231,1,1,35.0,83.475,0,0,1
232,0,3,29.0,7.775,1,0,1
233,0,2,59.0,13.5,1,0,1
234,1,3,5.0,31.3875,0,0,1
235,0,2,24.0,10.5,1,0,1
236,0,3,29.69911764705882,7.55,0,0,1
237,0,2,44.0,26.0,1,0,1
238,1,2,8.0,26.25,0,0,1
239,0,2,19.0,10.5,1,0,1
240,0,2,33.0,12.275,1,0,1
241,0,3,29.69911764705882,14.4542,0,1,0
242,1,3,29.69911764705882,15.5,0,0,0
243,0,2,29.0,10.5,1,0,1
244,0,3,22.0,7.125,1,0,1
245,0,3,30.0,7.225,1,1,0
246,0,1,44.0,90.0,1,0,0
247,0,3,25.0,7.775,0,0,1
248,1,2,24.0,14.5,0,0,1
249,1,1,37.0,52.5542,1,0,1
250,0,2,54.0,26.0,1,0,1
251,0,3,29.69911764705882,7.25,1,0,1
252,0,3,29.0,10.4625,0,0,1
253,0,1,62.0,26.55,1,0,1
254,0,3,30.0,16.1,1,0,1
255,0,3,41.0,20.2125,0,0,1
256,1,3,29.0,15.2458,0,1,0
257,1,1,29.69911764705882,79.2,0,1,0
258,1,1,30.0,86.5,0,0,1
259,1,1,35.0,512.3292,0,1,0
260,1,2,50.0,26.0,0,0,1
261,0,3,29.69911764705882,7.75,1,0,0
262,1,3,3.0,31.3875,1,0,1
263,0,1,52.0,79.65,1,0,1
264,0,1,40.0,0.0,1,0,1
265,0,3,29.69911764705882,7.75,0,0,0
266,0,2,36.0,10.5,1,0,1
267,0,3,16.0,39.6875,1,0,1
268,1,3,25.0,7.775,1,0,1
269,1,1,58.0,153.4625,0,0,1
270,1,1,35.0,135.6333,0,0,1
271,0,1,29.69911764705882,31.0,1,0,1
272,1,3,25.0,0.0,1,0,1
273,1,2,41.0,19.5,0,0,1
274,0,1,37.0,29.7,1,1,0
275,1,3,29.69911764705882,7.75,0,0,0
276,1,1,63.0,77.9583,0,0,1
277,0,3,45.0,7.75,0,0,1
278,0,2,29.69911764705882,0.0,1,0,1
279,0,3,7.0,29.125,1,0,0
